,Caso Noticia,Grado del Delito,Caracterización,Modalidad,Título,Artículo,Procedimiento Abreviado,Tipo de Noticia,Etapa Noticia,Fecha Creación,Año de Creación,Ley,Entidad Receptora,Unidad Receptora,Fecha de la denuncia,Departamento de la denuncia,Municipio de la denuncia,Fecha de los Hechos,Departamento de los Hechos,Municipio de los Hechos,Fecha Última Actuación,Última Actuación
19,sdv-id-JYLrnk,NINGUNO,OTROS,SIMULACIÓN DE PERFILES POR RED SOCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-10-08 05:14:17,2024,Ley 906,Policía Nacional,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2025-01-05 21:17:04,Antioquia,MEDELLÍN,2024-10-02 05:34:16,Antioquia,MEDELLÍN,2025-02-13 17:47:36,Verificacion de arraigo y/o  estudio socio economico
20,sdv-id-RAUjXj,NINGUNO,OFRECIMIENTO DE SERVICIOS,SIMULACIÓN DE PERFILES POR RED SOCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,INDAGACIÓN,2025-05-24 11:26:12,2024,Ley 906,Fiscalía General de la Nación,SALA DE DENUNCIAS ENVIGADO,2025-03-19 00:24:42,Antioquia,MONTERÍA,2025-02-10 12:23:06,Antioquia,MEDELLÍN,2025-08-11 18:41:52,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
21,sdv-id-dLcSbv,NINGUNO,OFRECIMIENTO DE SERVICIOS,PLAN VACACIONAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-10-25 13:20:30,2024,Ley 906,Fiscalía General de la Nación,MEVAL-SECCIONAL DE POLICIA JUDICIAL MEDELLIN,2024-12-03 07:51:52,Antioquia,MEDELLÍN,2022-10-04 20:11:26,Antioquia,MEDELLÍN,2025-05-11 14:57:06,CAMBIO DE PROCEDIMIENTO ABREVIADO A PROCEDIMIENTO ORDINARIO
22,sdv-id-FMJjXS,NINGUNO,HURTO A RESIDENCIA,OFERTA EDUCATIVA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-08-10 17:53:48,2023,Ley 906,Fiscalía General de la Nación,CENTRO DE CONTACTO DAUITA,2025-08-14 15:00:00,Antioquia,MEDELLÍN,2025-07-29 00:45:04,Antioquia,MEDELLÍN,2025-08-16 06:48:07,Conciliacion fracasada (no se hizo - complementar con el motivo)
23,sdv-id-qfUgAf,NINGUNO,OFRECIMIENTO DE SERVICIOS,COMPRA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-11-22 23:47:12,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-11-02 19:59:24,Antioquia,MEDELLÍN,2024-12-14 08:19:34,Antioquia,MEDELLÍN,2025-05-25 03:13:55,Obtención de documentos
24,sdv-id-OVyNgZ,NINGUNO,BIENES MUEBLES,TRÁMITES ADMINISTRATIVOS,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-08-03 05:45:17,2023,Ley 906,Fiscalía General de la Nación,CENTRO DE CONTACTO DAUITA,2025-08-14 15:00:00,Antioquia,"BOGOTÁ, D.C.",2025-06-26 01:58:37,Antioquia,MEDELLÍN,2025-08-08 03:28:53,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
25,sdv-id-tFLieW,NINGUNO,BIENES MUEBLES,TRÁMITES ADMINISTRATIVOS,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-04-19 18:19:03,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-03-09 05:14:15,Antioquia,MEDELLÍN,2024-11-26 02:40:17,Antioquia,MEDELLÍN,2025-06-27 09:06:49,Sale a fiscal de conocimiento
26,sdv-id-lTPgaS,NINGUNO,BIENES MUEBLES,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,INDAGACIÓN,2024-10-26 04:59:41,2025,Ley 906,Fiscalía General de la Nación,SALA DE DENUNCIAS CARIBE,2024-08-19 09:37:04,Antioquia,MEDELLÍN,2024-11-17 13:17:45,Antioquia,MEDELLÍN,2025-07-11 04:49:15,Obtención de documentos
27,sdv-id-KsGAbT,NINGUNO,BIENES INMUEBLES,COMPRA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-11-06 18:41:40,2024,Ley 906,Policía Nacional,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-12-08 12:52:54,Antioquia,MEDELLÍN,2024-04-07 19:49:26,Antioquia,MEDELLÍN,2025-07-11 21:01:50,Registro de informacion formal
28,sdv-id-azNjxG,NINGUNO,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-06-07 09:16:38,2025,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2025-06-24 00:26:24,Antioquia,MEDELLÍN,2025-04-14 19:25:52,Antioquia,MEDELLÍN,2025-08-10 20:27:21,Conciliacion fracasada (no se hizo - complementar con el motivo)
29,sdv-id-uAAQnM,NINGUNO,BIENES MUEBLES,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,DENUNCIA,QUERELLABLE,2025-04-27 07:43:11,2024,Ley 906,Fiscalía General de la Nación,MEVAL-SECCIONAL DE POLICIA JUDICIAL MEDELLIN,2025-02-24 14:04:24,Antioquia,PEREIRA,2025-05-26 10:08:35,Antioquia,MEDELLÍN,2025-06-03 16:04:10,Busqueda en bases de datos de acceso publico
30,sdv-id-whGkfq,AGRAVADO,BIENES MUEBLES,PLAN VACACIONAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,DENUNCIA,QUERELLABLE,2024-10-20 05:16:34,2025,Ley 906,Policía Nacional,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-07-05 00:30:47,Antioquia,MEDELLÍN,2023-07-12 14:20:46,Antioquia,MEDELLÍN,2025-05-07 08:45:39,Obtención de documentos
31,sdv-id-NVdEmn,NINGUNO,BIENES MUEBLES,EXCURSIÓN,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-03-12 03:58:21,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2025-02-25 20:32:34,Antioquia,MEDELLÍN,2024-12-28 22:00:20,Antioquia,MEDELLÍN,2025-04-27 20:41:55,Obtención de documentos
32,sdv-id-UuQMMI,NINGUNO,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-05-18 18:03:56,2024,Ley 906,Fiscalía General de la Nación,SALA DE DENUNCIAS CARIBE,2024-07-06 15:41:14,Antioquia,MEDELLÍN,2024-10-27 16:29:41,Antioquia,MEDELLÍN,2025-04-11 00:09:04,Busqueda en bases de datos de acceso publico
33,sdv-id-UEVJUS,NINGUNO,OTROS,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-02-04 09:09:19,2024,Ley 906,Policía Nacional,CENTRO DE CONTACTO DAUITA,2025-03-03 15:35:41,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",2025-01-10 20:07:18,Antioquia,MEDELLÍN,2024-07-22 19:30:23,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
34,sdv-id-hQTsZs,NINGUNO,OFRECIMIENTO DE SERVICIOS,SIMULACIÓN DE PERFILES POR RED SOCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2023-09-27 02:38:08,2024,Ley 906,Fiscalía General de la Nación,SAU (SALA DE ATENCION AL USUARIO) - QUIBDO,2023-08-31 05:46:32,Antioquia,MEDELLÍN,2023-03-18 00:35:41,Antioquia,MEDELLÍN,2025-05-29 17:53:44,Programa metodológico
35,sdv-id-oregQq,NINGUNO,BIENES MUEBLES,OFERTA LABORAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2023-05-02 18:51:51,2024,Ley 906,Policía Nacional,SALA DE DENUNCIAS CARIBE,2023-08-15 03:14:01,Antioquia,MEDELLÍN,2022-08-19 02:05:01,Antioquia,MEDELLÍN,2025-06-11 17:14:12,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
36,sdv-id-TSKViR,AGRAVADO,OFRECIMIENTO DE SERVICIOS,TRÁMITES ADMINISTRATIVOS,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,DENUNCIA,QUERELLABLE,2023-10-19 15:36:07,2025,Ley 906,Policía Nacional,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-02-19 14:25:31,Santander,MEDELLÍN,2022-08-13 16:06:16,Antioquia,MEDELLÍN,2024-10-10 16:13:24,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
37,sdv-id-SiBTnY,NINGUNO,OFRECIMIENTO DE SERVICIOS,COMPRA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,NO,QUERELLA,QUERELLABLE,2024-04-20 22:27:55,2024,Ley 906,Policía Nacional,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-05-20 09:38:58,Antioquia,MEDELLÍN,2024-01-13 01:53:47,Antioquia,MEDELLÍN,2025-05-23 18:50:28,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
38,sdv-id-ZAcZFx,NINGUNO,OTROS,TRÁMITES ADMINISTRATIVOS,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-03-10 03:30:33,2024,Ley 906,Policía Nacional,SALA DE DENUNCIAS CARIBE,2025-04-06 15:45:51,Antioquia,MEDELLÍN,2025-04-22 09:36:49,Antioquia,MEDELLÍN,2025-08-05 01:25:31,Obtención de documentos
39,sdv-id-oCWITx,NINGUNO,OFRECIMIENTO DE SERVICIOS,VENTA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-05-29 23:05:50,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-02-29 10:51:55,Antioquia,MEDELLÍN,2024-02-16 19:02:11,Antioquia,MEDELLÍN,2025-03-15 01:04:10,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
40,sdv-id-vOnmPU,NINGUNO,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,NO,QUERELLA,QUERELLABLE,2024-11-19 16:38:28,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - BARRANQUILLA,2024-10-13 23:26:14,Antioquia,CALDAS,2024-04-20 06:27:31,Antioquia,MEDELLÍN,2025-05-21 18:33:03,QUERELLA PROGRAMADA PARA CONCILIACION (1A.CITA).
41,sdv-id-tumyJv,NINGUNO,OFRECIMIENTO DE SERVICIOS,INVERSIÓN,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,INDAGACIÓN,2025-06-02 11:52:10,2025,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2025-05-23 15:06:42,Antioquia,MEDELLÍN,2025-04-27 08:55:53,Antioquia,MEDELLÍN,2025-08-16 13:59:48,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
42,sdv-id-wUDFua,NINGUNO,OFRECIMIENTO DE SERVICIOS,COMPRA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,DENUNCIA,QUERELLABLE,2022-11-03 20:08:30,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2023-06-08 06:13:07,Antioquia,MEDELLÍN,2022-07-08 08:50:49,Antioquia,MEDELLÍN,2025-04-20 03:28:18,Registro de informacion formal
43,sdv-id-emdZzm,NINGUNO,BIENES MUEBLES,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2023-03-12 01:32:10,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2023-10-01 18:50:28,Antioquia,MEDELLÍN,2023-06-18 16:57:00,Antioquia,MEDELLÍN,2025-03-01 09:04:25,Busqueda en bases de datos de acceso publico
44,sdv-id-gpRZWL,NINGUNO,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-03-10 20:51:23,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-02-24 22:10:02,Antioquia,MEDELLÍN,2024-01-27 06:07:56,Antioquia,MEDELLÍN,2024-11-18 05:51:04,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
45,sdv-id-GMalBk,NINGUNO,OTROS,SIMULACIÓN DE PERFILES POR RED SOCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,NO,QUERELLA,QUERELLABLE,2025-03-28 08:53:30,2023,Ley 906,Fiscalía General de la Nación,SALA DE DENUNCIAS CARIBE,2024-11-27 05:46:18,"BOGOTÁ, D. C.",MEDELLÍN,2025-03-02 21:39:03,Antioquia,MEDELLÍN,2025-05-23 15:35:30,Busqueda en bases de datos de acceso publico
46,sdv-id-vaYfeH,NINGUNO,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-10-29 03:50:04,2024,Ley 906,Fiscalía General de la Nación,CENTRO DE CONTACTO DAUITA,2024-11-12 18:28:40,Antioquia,MEDELLÍN,2024-05-23 11:27:20,Antioquia,MEDELLÍN,2024-08-20 19:35:46,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
47,sdv-id-EzBKVH,NINGUNO,OFRECIMIENTO DE SERVICIOS,VENTA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-06-03 12:47:54,2025,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2025-07-12 04:29:39,Antioquia,MEDELLÍN,2024-12-07 18:57:59,Antioquia,MEDELLÍN,2025-07-20 16:24:49,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
48,sdv-id-Qqrlrl,NINGUNO,BIENES INMUEBLES,CONTRACTUAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-09-05 04:28:07,2024,Ley 906,Policía Nacional,CASA DE JUSTICIA - BELLO - LOCAL,2024-06-29 21:10:13,Santander,MEDELLÍN,2023-12-19 21:31:24,Antioquia,MEDELLÍN,2024-11-07 14:12:49,Obtención de documentos
49,sdv-id-yYQVim,NINGUNO,OFRECIMIENTO DE SERVICIOS,INVERSIÓN,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-10-04 19:56:49,2024,Ley 906,Fiscalía General de la Nación,SALA DE DENUNCIAS CARIBE,2024-09-22 12:29:47,Antioquia,MEDELLÍN,2024-10-10 10:29:43,Antioquia,MEDELLÍN,2025-08-01 16:53:27,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
